,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,164,07-03-2002,Zimbabwe,Nahar Singh Stadium,lbw b G W Flower,23,34,67.65,23,23.0,68.13,34,1
1,165,10-03-2002,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,not out,66*,59,111.86,89,89.0,95.7,93,1
2,166,13-03-2002,Zimbabwe,Nehru Stadium (Kochi),c C B Wishart b M Mbangwa,6,11,54.55,95,47.5,91.35,104,2
3,167,16-03-2002,Zimbabwe,Lal Bahadur Shastri Stadium,b G W Flower,32,56,57.14,127,42.33,79.38,160,3
4,168,19-03-2002,Zimbabwe,Nehru Stadium (Guwahati),b D T Hondo,26,33,78.79,153,38.25,79.27,193,4
5,169,29-05-2002,West Indies,Kensington Oval,not out,9*,16,56.25,162,40.5,77.51,209,4
6,170,01-06-2002,West Indies,Queen's Park Oval,b C L Hooper,28,36,77.78,190,38.0,77.55,245,5
7,171,02-06-2002,West Indies,Queen's Park Oval,c R R Sarwan b C L Hooper,20,34,58.82,210,35.0,75.27,279,6
8,172,29-06-2002,England,Lord's,not out,73*,86,84.88,283,47.17,77.53,365,6
9,173,30-06-2002,Sri Lanka,Kennington Oval,b U D U Chandana,8,26,30.77,291,41.57,74.42,391,7
10,174,04-07-2002,England,Riverside Ground,c A Flintoff b P D Collingwood,82,117,70.09,373,46.62,73.43,508,8
11,175,06-07-2002,Sri Lanka,Edgbaston,run out,64,95,67.37,437,48.56,72.47,603,9
12,176,11-07-2002,Sri Lanka,County Ground (Bristol),lbw b U D U Chandana,13,16,81.25,450,45.0,72.7,619,10
13,177,13-07-2002,England,Lord's,c N V Knight b R C Irani,5,12,41.67,455,41.36,72.11,631,11
14,178,14-09-2002,Zimbabwe,R Premadasa Stadium,run out,71,81,87.65,526,43.83,73.88,712,12
15,179,22-09-2002,England,R Premadasa Stadium,did not bat,-,-,-,526,43.83,73.88,712,12
16,180,25-09-2002,South Africa,R Premadasa Stadium,lbw b L Klusener,49,67,73.13,575,44.23,73.81,779,13
17,181,29-09-2002,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,575,44.23,73.81,779,13
18,182,30-09-2002,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,575,44.23,73.81,779,13
19,183,06-11-2002,West Indies,Keenan Stadium,not out,46*,42,109.52,621,47.77,75.64,821,13
20,184,09-11-2002,West Indies,Vidarbha Cricket Association Ground,run out,51,42,121.43,672,48.0,77.87,863,14
21,185,12-11-2002,West Indies,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,672,48.0,77.87,863,14
22,186,15-11-2002,West Indies,Sardar Patel Stadium,not out,109*,124,87.9,781,55.79,79.13,987,14
23,187,18-11-2002,West Indies,Reliance Stadium,c C H Gayle b M N Samuels,33,36,91.67,814,54.27,79.57,1023,15
24,188,21-11-2002,West Indies,Barkatullah Khan Stadium,c R L Powell b V C Drakes,58,82,70.73,872,54.5,78.91,1105,16
25,189,24-11-2002,West Indies,Indira Gandhi Stadium,c R R Sarwan b J J C Lawson,3,8,37.5,875,51.47,78.62,1113,17
26,190,26-12-2002,New Zealand,Eden Park,c D L Vettori b D R Tuffey,20,51,39.22,895,49.72,76.89,1164,18
27,191,29-12-2002,New Zealand,McLean Park,run out,18,27,66.67,913,48.05,76.66,1191,19
