,Match,Date,Versus,Ground,Inns,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,3,10-10-1996,Australia,Feroz Shah Kotla,1st,c †I A Healy b S R Waugh,40,64,62.5,40,40.0,45.31,64,1
1,20,06-03-1998,Australia,MA Chidambaram Stadium,1st,c G R Robertson b S K Warne,52,169,30.77,92,46.0,39.48,233,2
2,21,18-03-1998,Australia,Eden Gardens,1st,c & b G S Blewett,86,150,57.33,178,59.33,46.48,383,3
3,22,25-03-1998,Australia,M Chinnaswamy Stadium,1st,b S K Warne,23,94,24.47,201,50.25,42.14,477,4
4,33,10-12-1999,Australia,Adelaide Oval,1st,c J L Langer b S K Warne,35,126,27.78,236,47.2,39.14,603,5
5,34,26-12-1999,Australia,Melbourne Cricket Ground,1st,c †A C Gilchrist b B Lee,9,36,25,245,40.83,38.34,639,6
6,35,02-01-2000,Australia,Sydney Cricket Ground,1st,c R T Ponting b G D McGrath,29,74,39.19,274,39.14,38.43,713,7
7,41,27-02-2001,Australia,Wankhede Stadium,1st,c †A C Gilchrist b D W Fleming,9,19,47.37,283,35.38,38.66,732,8
8,42,11-03-2001,Australia,Eden Gardens,1st,b S K Warne,25,82,30.49,308,34.22,37.84,814,9
9,43,18-03-2001,Australia,MA Chidambaram Stadium,1st,c †A C Gilchrist b J N Gillespie,81,140,57.86,389,38.9,40.78,954,10
10,72,04-12-2003,Australia,Brisbane Cricket Ground,1st,c M L Hayden b J N Gillespie,1,11,9.09,390,35.45,40.41,965,11
11,73,12-12-2003,Australia,Adelaide Oval,1st,c A J Bichel b J N Gillespie,233,446,52.24,623,51.92,44.15,1411,12
12,74,26-12-2003,Australia,Melbourne Cricket Ground,1st,c D R Martyn b S R Waugh,49,89,55.06,672,51.69,44.8,1500,13
13,75,02-01-2004,Australia,Sydney Cricket Ground,1st,lbw b J N Gillespie,38,82,46.34,710,50.71,44.88,1582,14
14,79,06-10-2004,Australia,M Chinnaswamy Stadium,1st,b G D McGrath,0,5,0,710,47.33,44.74,1587,15
15,80,14-10-2004,Australia,MA Chidambaram Stadium,1st,b M S Kasprowicz,26,95,27.37,736,46.0,43.76,1682,16
16,81,26-10-2004,Australia,Vidarbha Cricket Association Ground,1st,c S K Warne b G D McGrath,21,140,15,757,44.53,41.55,1822,17
17,82,03-11-2004,Australia,Wankhede Stadium,1st,not out,31*,104,29.81,788,46.35,40.91,1926,17
18,92,14-10-2005,Australia,Sydney Cricket Ground,1st,c †A C Gilchrist b G D McGrath,0,6,0,788,43.78,40.79,1932,18
19,116,26-12-2007,Australia,Melbourne Cricket Ground,1st,lbw b S R Clark,5,66,7.58,793,41.74,39.69,1998,19
20,117,02-01-2008,Australia,Sydney Cricket Ground,1st,c M L Hayden b M G Johnson,53,160,33.13,846,42.3,39.2,2158,20
21,118,16-01-2008,Australia,WACA Ground,1st,c R T Ponting b A Symonds,93,183,50.82,939,44.71,40.11,2341,21
22,119,24-01-2008,Australia,Adelaide Oval,1st,c R T Ponting b M G Johnson,18,55,32.73,957,43.5,39.94,2396,22
23,126,09-10-2008,Australia,M Chinnaswamy Stadium,1st,lbw b S R Watson,51,104,49.04,1008,43.83,40.32,2500,23
24,127,17-10-2008,Australia,Punjab Cricket Association IS Bindra Stadium,1st,b B Lee,39,70,55.71,1047,43.62,40.74,2570,24
25,128,29-10-2008,Australia,Feroz Shah Kotla,1st,c M L Hayden b M G Johnson,11,31,35.48,1058,42.32,40.68,2601,25
26,129,06-11-2008,Australia,Vidarbha Cricket Association Stadium,1st,c S M Katich b J J Krejza,0,2,0,1058,40.69,40.65,2603,26
27,143,01-10-2010,Australia,Punjab Cricket Association IS Bindra Stadium,1st,c †T D Paine b D E Bollinger,77,134,57.46,1135,42.04,41.47,2737,27
28,144,09-10-2010,Australia,M Chinnaswamy Stadium,1st,c M J North b M G Johnson,1,7,14.29,1136,40.57,41.4,2744,28
29,161,26-12-2011,Australia,Melbourne Cricket Ground,1st,b B W Hilfenhaus,68,187,36.36,1204,41.52,41.08,2931,29
30,162,03-01-2012,Australia,Sydney Cricket Ground,1st,c E J M Cowan b P M Siddle,5,33,15.15,1209,40.3,40.79,2964,30
31,163,13-01-2012,Australia,WACA Ground,1st,b P M Siddle,9,35,25.71,1218,39.29,40.61,2999,31
32,164,24-01-2012,Australia,Adelaide Oval,1st,b B W Hilfenhaus,1,9,11.11,1219,38.09,40.53,3008,32
