,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,38,24-07-1997,Bangladesh,Sinhalese Sports Club Ground,did not bat,-,-,-,0,,66.47,0,0
1,52,14-05-1998,Bangladesh,Punjab Cricket Association IS Bindra Stadium,c & b Athar Ali Khan,5,22,22.73,5,5.0,22.73,22,1
2,54,25-05-1998,Bangladesh,Wankhede Stadium,b Mohammad Rafique,1,21,4.76,6,3.0,13.95,43,2
3,126,30-05-2000,Bangladesh,Bangabandhu National Stadium,did not bat,-,-,-,6,3.0,13.95,43,2
4,232,21-07-2004,Bangladesh,Sinhalese Sports Club Ground,did not bat,-,-,-,6,3.0,13.95,43,2
5,244,23-12-2004,Bangladesh,MA Aziz Stadium,c †Khaled Mashud b Khaled Mahmud,53,80,66.25,59,19.67,47.97,123,3
6,245,27-12-2004,Bangladesh,Bangabandhu National Stadium,c Mashrafe Mortaza b Mohammad Rafique,60,68,88.24,119,29.75,62.3,191,4
7,311,17-03-2007,Bangladesh,Queen's Park Oval,lbw b Mohammad Rafique,14,28,50,133,26.6,60.73,219,5
8,314,10-05-2007,Bangladesh,Shere Bangla National Stadium,c Abdur Razzak b Shakib Al Hasan,22,39,56.41,155,25.83,60.08,258,6
9,315,12-05-2007,Bangladesh,Shere Bangla National Stadium,not out,42*,47,89.36,197,32.83,64.59,305,6
