,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,5,26-05-1996,England,Old Trafford,not out,22*,15,146.67,22,inf,82.69,15,0
1,77,09-04-1999,England,Sharjah Cricket Stadium,c & b G A Hick,16,38,42.11,38,38.0,71.7,53,1
2,78,11-04-1999,England,Sharjah Cricket Stadium,run out,63,92,68.48,101,50.5,69.66,145,2
3,85,29-05-1999,England,Edgbaston,c M A Ealham b A Flintoff,53,82,64.63,154,51.33,67.84,227,3
4,172,29-06-2002,England,Lord's,not out,73*,86,84.88,227,75.67,72.52,313,3
5,174,04-07-2002,England,Riverside Ground,c A Flintoff b P D Collingwood,82,117,70.09,309,77.25,71.86,430,4
6,177,13-07-2002,England,Lord's,c N V Knight b R C Irani,5,12,41.67,314,62.8,71.04,442,5
7,179,22-09-2002,England,R Premadasa Stadium,did not bat,-,-,-,314,62.8,71.04,442,5
8,201,26-02-2003,England,Kingsmead,c P D Collingwood b A R Caddick,62,72,86.11,376,62.67,73.15,514,6
9,238,01-09-2004,England,Trent Bridge,c D Gough b A G Wharf,13,16,81.25,389,55.57,73.4,530,7
10,239,03-09-2004,England,Kennington Oval,c †G O Jones b A G Wharf,1,8,12.5,390,48.75,72.49,538,8
11,240,05-09-2004,England,Lord's,c P D Collingwood b S J Harmison,52,92,56.52,442,49.11,70.16,630,9
12,281,28-03-2006,England,Feroz Shah Kotla,b L E Plunkett,34,50,68,476,47.6,70.0,680,10
13,282,31-03-2006,England,Nahar Singh Stadium,run out,5,23,21.74,481,43.73,68.42,703,11
14,283,03-04-2006,England,Nehru Stadium (Margao),b P D Collingwood,46,59,77.97,527,43.92,69.16,762,12
15,284,06-04-2006,England,Nehru Stadium (Kochi),c M J Hoggard b A Flintoff,65,72,90.28,592,45.54,70.98,834,13
16,285,15-04-2006,England,Holkar Cricket Stadium,lbw b S I Mahmood,69,79,87.34,661,47.21,72.4,913,14
17,298,15-10-2006,England,Sawai Mansingh Stadium,c A J Strauss b J M Anderson,4,3,133.33,665,44.33,72.6,916,15
18,321,21-08-2007,England,The Rose Bowl,c †M J Prior b A D Mascarenhas,46,72,63.89,711,44.44,71.96,988,16
19,322,24-08-2007,England,County Ground (Bristol),not out,92*,63,146.03,803,50.19,76.4,1051,16
20,323,27-08-2007,England,Edgbaston,b C T Tremlett,56,61,91.8,859,50.53,77.25,1112,17
21,324,30-08-2007,England,Old Trafford,c †M J Prior b A Flintoff,1,8,12.5,860,47.78,76.79,1120,18
22,325,02-09-2007,England,Headingley,run out,24,17,141.18,884,46.53,77.75,1137,19
23,326,05-09-2007,England,Kennington Oval,c P D Collingwood b O A Shah,4,5,80,888,44.4,77.76,1142,20
24,327,08-09-2007,England,Lord's,c †M J Prior b A Flintoff,0,3,0,888,42.29,77.55,1145,21
25,340,03-09-2011,England,Riverside Ground,c †C Kieswetter b S C J Broad,2,6,33.33,890,40.45,77.32,1151,22
26,341,06-09-2011,England,The Rose Bowl,c J M Anderson b G P Swann,32,31,103.23,922,40.09,78.0,1182,23
27,342,09-09-2011,England,Kennington Oval,run out,2,11,18.18,924,38.5,77.45,1193,24
28,343,11-09-2011,England,Lord's,c & b G P Swann,19,33,57.58,943,37.72,76.92,1226,25
29,344,16-09-2011,England,Sophia Gardens,b G P Swann,69,79,87.34,1012,38.92,77.55,1305,26
