,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,53,20-05-1998,Kenya,M Chinnaswamy Stadium,b A Y A Karim,49,62,79.03,49,49.0,65.49,62,1
1,55,28-05-1998,Kenya,Captain Roop Singh Stadium,c A V Vadher b S O Tikolo,33,53,62.26,82,41.0,71.3,115,2
2,83,23-05-1999,Kenya,County Ground (Bristol),not out,104*,109,95.41,186,93.0,83.04,224,2
3,101,29-09-1999,Kenya,Gymkhana Club Ground,c A V Vadher b M O Odumbe,30,56,53.57,216,72.0,77.14,280,3
4,129,03-10-2000,Kenya,Gymkhana Club Ground,not out,68*,87,78.16,284,94.67,77.38,367,3
5,159,12-10-2001,Kenya,Mangaung Oval,did not bat,-,-,-,284,94.67,77.38,367,3
6,160,17-10-2001,Kenya,St George's Park,c †D O Obuya b A O Suji,11,23,47.83,295,73.75,75.64,390,4
7,162,24-10-2001,Kenya,Boland Park,did not bat,-,-,-,295,73.75,75.64,390,4
8,203,07-03-2003,Kenya,Newlands,c & b C O Obuya,32,73,43.84,327,65.4,70.63,463,5
9,206,20-03-2003,Kenya,Kingsmead,not out,1*,1,100,328,65.6,70.69,464,5
10,241,11-09-2004,Kenya,The Rose Bowl,not out,30*,16,187.5,358,71.6,74.58,480,5
