,Match,Date,Versus,Ground,Inns,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,26,28-01-1999,Pakistan,MA Chidambaram Stadium,1st,lbw b Saqlain Mushtaq,53,113,46.9,53,53.0,39.46,113,1
1,27,04-02-1999,Pakistan,Feroz Shah Kotla,1st,lbw b Saqlain Mushtaq,33,101,32.67,86,43.0,40.19,214,2
2,28,16-02-1999,Pakistan,Eden Gardens,1st,b Shoaib Akhtar,24,93,25.81,110,36.67,35.83,307,3
3,76,28-03-2004,Pakistan,Multan Cricket Stadium,1st,c Yasir Hameed b Mohammad Sami,6,10,60,116,29.0,36.59,317,4
4,77,05-04-2004,Pakistan,Gaddafi Stadium,1st,c Inzamam-ul-Haq b Umar Gul,33,72,45.83,149,29.8,38.3,389,5
5,78,13-04-2004,Pakistan,Rawalpindi Cricket Stadium,1st,b Imran Farhat,270,495,54.55,419,69.83,47.4,884,6
6,87,08-03-2005,Pakistan,Punjab Cricket Association IS Bindra Stadium,1st,c Asim Kamal b Mohammad Sami,50,117,42.74,469,67.0,46.85,1001,7
7,88,16-03-2005,Pakistan,Eden Gardens,1st,c †Kamran Akmal b D Kaneria,110,222,49.55,579,72.38,47.34,1223,8
8,89,24-03-2005,Pakistan,M Chinnaswamy Stadium,1st,lbw b D Kaneria,22,53,41.51,601,66.78,47.1,1276,9
9,95,13-01-2006,Pakistan,Gaddafi Stadium,1st,not out,128*,233,54.94,729,81.0,48.31,1509,9
10,96,21-01-2006,Pakistan,Iqbal Stadium,1st,run out,103,220,46.82,832,83.2,48.12,1729,10
11,97,29-01-2006,Pakistan,National Stadium,1st,c †Kamran Akmal b Mohammad Asif,3,12,25,835,75.91,47.96,1741,11
12,113,22-11-2007,Pakistan,Feroz Shah Kotla,1st,b Sohail Tanvir,38,73,52.05,873,72.75,48.13,1814,12
13,114,30-11-2007,Pakistan,Eden Gardens,1st,c †Kamran Akmal b D Kaneria,50,118,42.37,923,71.0,47.77,1932,13
14,115,08-12-2007,Pakistan,M Chinnaswamy Stadium,1st,c Misbah-ul-Haq b Yasir Arafat,19,28,67.86,942,67.29,48.06,1960,14
