,Match,Date,Versus,Ground,Inns,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,4,20-11-1996,South Africa,Sardar Patel Stadium,1st,lbw b P L Symcox,24,98,24.49,24,24.0,41.9,98,1
1,5,27-11-1996,South Africa,Eden Gardens,1st,c A C Hudson b B M McMillan,31,48,64.58,55,27.5,37.67,146,2
2,6,08-12-1996,South Africa,Green Park,1st,lbw b P R Adams,7,55,12.73,62,20.67,30.85,201,3
3,7,26-12-1996,South Africa,Kingsmead,1st,lbw b B M McMillan,7,23,30.43,69,17.25,30.8,224,4
4,8,02-01-1997,South Africa,Newlands,1st,b L Klusener,2,41,4.88,71,14.2,26.79,265,5
5,9,16-01-1997,South Africa,Wanderers Stadium,1st,c S M Pollock b W J Cronje,148,362,40.88,219,36.5,34.93,627,6
6,36,24-02-2000,South Africa,Wankhede Stadium,1st,b A A Donald,22,79,27.85,241,34.43,34.14,706,7
7,37,02-03-2000,South Africa,M Chinnaswamy Stadium,1st,c †M V Boucher b W J Cronje,17,75,22.67,258,32.25,33.03,781,8
8,49,03-11-2001,South Africa,Mangaung Oval,1st,c J H Kallis b S M Pollock,2,10,20,260,28.89,32.87,791,9
9,50,16-11-2001,South Africa,St George's Park,1st,b S M Pollock,2,11,18.18,262,26.2,32.67,802,10
10,83,20-11-2004,South Africa,Green Park,1st,c †T L Tsolekile b M Ntini,54,179,30.17,316,28.73,32.21,981,11
11,84,28-11-2004,South Africa,Eden Gardens,1st,b A J Hall,80,247,32.39,396,33.0,32.25,1228,12
12,105,15-12-2006,South Africa,Wanderers Stadium,1st,c G C Smith b J H Kallis,32,83,38.55,428,32.92,32.65,1311,13
13,106,26-12-2006,South Africa,Kingsmead,1st,lbw b A Nel,11,23,47.83,439,31.36,32.91,1334,14
14,107,02-01-2007,South Africa,Newlands,1st,c †M V Boucher b S M Pollock,29,58,50,468,31.2,33.62,1392,15
15,120,26-03-2008,South Africa,MA Chidambaram Stadium,1st,c J H Kallis b M Ntini,111,291,38.14,579,36.19,34.4,1683,16
16,121,03-04-2008,South Africa,Sardar Patel Stadium,1st,b D W Steyn,3,26,11.54,582,34.24,34.06,1709,17
17,122,11-04-2008,South Africa,Green Park,1st,c A B de Villiers b M Morkel,29,106,27.36,611,33.94,33.66,1815,18
18,148,16-12-2010,South Africa,SuperSport Park,1st,lbw b M Morkel,14,42,33.33,625,32.89,33.66,1857,19
19,149,26-12-2010,South Africa,Kingsmead,1st,c †M V Boucher b D W Steyn,25,68,36.76,650,32.5,33.77,1925,20
20,150,02-01-2011,South Africa,Newlands,1st,run out,5,16,31.25,655,31.19,33.75,1941,21
