,Match,Date,Versus,Ground,Inns,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,15,02-08-1997,Sri Lanka,R Premadasa Stadium,1st,c & b S T Jayasuriya,69,197,35.03,69,69.0,35.79,197,1
1,16,09-08-1997,Sri Lanka,Sinhalese Sports Club Ground,1st,c W P U J C Vaas b K S C de Silva,2,9,22.22,71,35.5,34.47,206,2
2,17,19-11-1997,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,1st,c A Ranatunga b S T Jayasuriya,34,117,29.06,105,35.0,32.51,323,3
3,18,26-11-1997,Sri Lanka,Vidarbha Cricket Association Ground,1st,c M S Atapattu b W P U J C Vaas,92,221,41.63,197,49.25,36.21,544,4
4,19,03-12-1997,Sri Lanka,Wankhede Stadium,1st,c R S Mahanama b A Ranatunga,93,219,42.47,290,58.0,38.01,763,5
5,29,24-02-1999,Sri Lanka,Sinhalese Sports Club Ground,1st,c A Ranatunga b U C Hathurusingha,107,218,49.08,397,66.17,40.47,981,6
6,46,14-08-2001,Sri Lanka,Galle International Stadium,1st,c R P Arnold b M Muralitharan,12,28,42.86,409,58.43,40.54,1009,7
7,47,22-08-2001,Sri Lanka,Asgiriya Stadium,1st,lbw b W P U J C Vaas,15,19,78.95,424,53.0,41.25,1028,8
8,48,29-08-2001,Sri Lanka,Sinhalese Sports Club Ground,1st,c H P Tillakaratne b M Muralitharan,36,85,42.35,460,51.11,41.33,1113,9
9,93,02-12-2005,Sri Lanka,MA Chidambaram Stadium,1st,c †K C Sangakkara b W P U J C Vaas,32,105,30.48,492,49.2,40.39,1218,10
10,94,10-12-2005,Sri Lanka,Feroz Shah Kotla,1st,c J Mubarak b M Muralitharan,24,43,55.81,516,46.91,40.92,1261,11
11,123,23-07-2008,Sri Lanka,Sinhalese Sports Club Ground,1st,b B A W Mendis,14,35,40,530,44.17,40.9,1296,12
12,124,31-07-2008,Sri Lanka,Galle International Stadium,1st,c B S M Warnapura b B A W Mendis,2,6,33.33,532,40.92,40.86,1302,13
13,125,08-08-2008,Sri Lanka,P Sara Oval,1st,lbw b K T G D Prasad,10,29,34.48,542,38.71,40.72,1331,14
14,135,16-11-2009,Sri Lanka,Sardar Patel Stadium,1st,b U W M B C A Welegedara,177,261,67.82,719,47.93,45.16,1592,15
15,136,24-11-2009,Sri Lanka,Green Park,1st,run out,144,226,63.72,863,53.94,47.47,1818,16
16,137,02-12-2009,Sri Lanka,Brabourne Stadium,1st,c †H A P W Jayawardene b U W M B C A Welegedara,74,147,50.34,937,55.12,47.68,1965,17
17,140,18-07-2010,Sri Lanka,Galle International Stadium,1st,run out,18,33,54.55,955,53.06,47.8,1998,18
18,141,26-07-2010,Sri Lanka,Sinhalese Sports Club Ground,1st,lbw b S Randiv,3,18,16.67,958,50.42,47.52,2016,19
19,142,03-08-2010,Sri Lanka,P Sara Oval,1st,lbw b A D Mathews,23,26,88.46,981,49.05,48.04,2042,20
