,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,29,26-04-1997,West Indies,Queen's Park Oval,c C L Hooper b F A Rose,17,44,38.64,17,17.0,64.98,44,1
1,30,27-04-1997,West Indies,Queen's Park Oval,did not bat,-,-,-,17,17.0,38.64,44,1
2,31,30-04-1997,West Indies,Arnos Vale Ground,b O D Gibson,74,105,70.48,91,45.5,61.07,149,2
3,32,03-05-1997,West Indies,Kensington Oval,c S Chanderpaul b F A Rose,30,61,49.18,121,40.33,57.62,210,3
4,51,16-12-1997,West Indies,Sharjah Cricket Stadium,b C L Hooper,31,45,68.89,152,38.0,59.61,255,4
5,64,31-10-1998,West Indies,Bangabandhu National Stadium,c S C Williams b C L Hooper,20,54,37.04,172,34.4,55.66,309,5
6,94,05-09-1999,West Indies,Kallang Ground,c H R Bryan b N A M McLean,39,49,79.59,211,35.17,58.94,358,6
7,95,07-09-1999,West Indies,Kallang Ground,c S L Campbell b R D King,29,58,50,240,34.29,57.69,416,7
8,96,08-09-1999,West Indies,Kallang Ground,not out,103*,124,83.06,343,49.0,63.52,540,7
9,97,11-09-1999,West Indies,"Cricket, Skating & Curling Club",c †R D Jacobs b C A Walsh,5,14,35.71,348,43.5,62.82,554,8
10,98,12-09-1999,West Indies,"Cricket, Skating & Curling Club",lbw b M V Dillon,16,59,27.12,364,40.44,59.38,613,9
11,99,14-09-1999,West Indies,"Cricket, Skating & Curling Club",b M V Dillon,77,87,88.51,441,44.1,63.0,700,10
12,147,30-06-2001,West Indies,Queens Sports Club,st R D Jacobs b M V Nagamootoo,4,5,80,445,40.45,63.12,705,11
13,148,04-07-2001,West Indies,Harare Sports Club,b C H Gayle,15,18,83.33,460,38.33,63.62,723,12
14,149,07-07-2001,West Indies,Harare Sports Club,b R D King,30,32,93.75,490,37.69,64.9,755,13
15,169,29-05-2002,West Indies,Kensington Oval,not out,9*,16,56.25,499,38.38,64.72,771,13
16,170,01-06-2002,West Indies,Queen's Park Oval,b C L Hooper,28,36,77.78,527,37.64,65.3,807,14
17,171,02-06-2002,West Indies,Queen's Park Oval,c R R Sarwan b C L Hooper,20,34,58.82,547,36.47,65.04,841,15
18,183,06-11-2002,West Indies,Keenan Stadium,not out,46*,42,109.52,593,39.53,67.16,883,15
19,184,09-11-2002,West Indies,Vidarbha Cricket Association Ground,run out,51,42,121.43,644,40.25,69.62,925,16
20,185,12-11-2002,West Indies,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,644,40.25,69.62,925,16
21,186,15-11-2002,West Indies,Sardar Patel Stadium,not out,109*,124,87.9,753,47.06,71.78,1049,16
22,187,18-11-2002,West Indies,Reliance Stadium,c C H Gayle b M N Samuels,33,36,91.67,786,46.24,72.44,1085,17
23,188,21-11-2002,West Indies,Barkatullah Khan Stadium,c R L Powell b V C Drakes,58,82,70.73,844,46.89,72.32,1167,18
24,189,24-11-2002,West Indies,Indira Gandhi Stadium,c R R Sarwan b J J C Lawson,3,8,37.5,847,44.58,72.09,1175,19
25,254,31-07-2005,West Indies,Rangiri Dambulla International Stadium,not out,52*,65,80,899,47.32,72.5,1240,19
26,256,07-08-2005,West Indies,R Premadasa Stadium,b O A C Banks,10,26,38.46,909,45.45,71.8,1266,20
27,288,18-05-2006,West Indies,Sabina Park,c J E Taylor b D J J Bravo,105,102,102.94,1014,48.29,74.12,1368,21
28,289,20-05-2006,West Indies,Sabina Park,c †C S Baugh b I D R Bradshaw,11,22,50,1025,46.59,73.74,1390,22
29,290,23-05-2006,West Indies,Warner Park,lbw b I D R Bradshaw,0,4,0,1025,44.57,73.53,1394,23
30,291,26-05-2006,West Indies,Queen's Park Oval,c R R Sarwan b C D Collymore,15,38,39.47,1040,43.33,72.63,1432,24
31,292,28-05-2006,West Indies,Queen's Park Oval,run out,18,25,72,1058,42.32,72.61,1457,25
32,294,14-09-2006,West Indies,Kinrara Academy Oval,lbw b D R Smith,26,38,68.42,1084,41.69,72.51,1495,26
33,296,20-09-2006,West Indies,Kinrara Academy Oval,c †C S Baugh b D R Smith,0,3,0,1084,40.15,72.36,1498,27
34,299,26-10-2006,West Indies,Sardar Patel Stadium,run out,49,67,73.13,1133,40.46,72.4,1565,28
35,303,21-01-2007,West Indies,Vidarbha Cricket Association Ground,not out,54*,35,154.29,1187,42.39,74.19,1600,28
36,304,24-01-2007,West Indies,Barabati Stadium,b D B Powell,22,34,64.71,1209,41.69,73.99,1634,29
37,305,27-01-2007,West Indies,MA Chidambaram Stadium,c R R Emrit b C H Gayle,57,67,85.07,1266,42.2,74.43,1701,30
38,306,31-01-2007,West Indies,Reliance Stadium,c L M P Simmons b M N Samuels,78,109,71.56,1344,43.35,74.25,1810,31
39,339,30-09-2009,West Indies,Wanderers Stadium,run out,4,2,200,1348,42.12,74.39,1812,32
