Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,P S/R
1,03-10-2000,Kenya,Gymkhana Club Ground,did not bat,-,-,-,0, , 
2,07-10-2000,Australia,Gymkhana Club Ground,c & b S Lee,84,80,105,84,84,105
3,13-10-2000,South Africa,Gymkhana Club Ground,c J N Rhodes b J H Kallis,41,35,117.14,125,62.5,108.7
4,15-10-2000,New Zealand,Gymkhana Club Ground,c R G Twose b S B Styris,18,19,94.74,143,47.67,106.72
5,20-10-2000,Sri Lanka,Sharjah Cricket Stadium,b M Muralitharan,7,15,46.67,150,37.5,100.67
6,22-10-2000,Zimbabwe,Sharjah Cricket Stadium,b T J Friend,34,39,87.18,184,36.8,97.87
7,26-10-2000,Zimbabwe,Sharjah Cricket Stadium,c P A Strang b M Mbangwa,4,11,36.36,188,31.33,94.47
8,27-10-2000,Sri Lanka,Sharjah Cricket Stadium,c T M Dilshan b M Muralitharan,7,17,41.18,195,27.86,90.28
9,29-10-2000,Sri Lanka,Sharjah Cricket Stadium,c K C Sangakkara b W P U J C Vaas,3,8,37.5,198,24.75,88.39
10,02-12-2000,Zimbabwe,Barabati Stadium,lbw b B A Murphy,11,6,183.33,209,23.22,90.87
11,05-12-2000,Zimbabwe,Sardar Patel Stadium,c H H Streak b B A Murphy,17,16,106.25,226,22.6,91.87
12,08-12-2000,Zimbabwe,Barkatullah Khan Stadium,c & b G W Flower,5,16,31.25,231,21,88.17
13,14-12-2000,Zimbabwe,Madhavrao Scindia Cricket Ground,lbw b B A Murphy,29,23,126.09,260,21.67,91.23
14,06-04-2001,Australia,Nehru Stadium (Margao),run out,19,21,90.48,279,21.46,91.18
15,20-07-2001,New Zealand,R Premadasa Stadium,lbw b K D Mills,6,15,40,285,20.36,88.79
16,22-07-2001,Sri Lanka,R Premadasa Stadium,c M Muralitharan b S A Perera,12,17,70.59,297,19.8,87.87
17,26-07-2001,New Zealand,R Premadasa Stadium,c †A C Parore b C Z Harris,28,51,54.9,325,20.31,83.55
18,28-07-2001,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,325,20.31,83.55
19,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,not out,98*,110,89.09,423,26.44,84.77
20,02-08-2001,New Zealand,Sinhalese Sports Club Ground,did not bat,-,-,-,423,26.44,84.77
21,05-08-2001,Sri Lanka,R Premadasa Stadium,b R P Arnold,6,6,100,429,25.24,84.95
22,05-10-2001,South Africa,Wanderers Stadium,c G Kirsten b L Klusener,14,18,77.78,443,24.61,84.7
23,10-10-2001,South Africa,SuperSport Park,b M Ntini,42,55,76.36,485,25.53,83.91
24,12-10-2001,Kenya,Mangaung Oval,did not bat,-,-,-,485,25.53,83.91
25,17-10-2001,Kenya,St George's Park,b A O Suji,0,1,0,485,24.25,83.77
26,19-10-2001,South Africa,Buffalo Park,lbw b L Klusener,3,8,37.5,488,23.24,83.13
27,24-10-2001,Kenya,Boland Park,not out,10*,8,125,498,23.71,83.7
28,26-10-2001,South Africa,Kingsmead,c S M Pollock b J M Kemp,0,2,0,498,22.64,83.42
29,16-03-2002,Zimbabwe,Lal Bahadur Shastri Stadium,not out,80*,60,133.33,578,26.27,87.98
