Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
1,03-04-1996,Sri Lanka,Padang Cricket Ground,c †R S Kaluwitharana b M Muralitharan,3,4,75,3,3,75
2,05-04-1996,Pakistan,Padang Cricket Ground,run out,4,7,57.14,7,3.5,63.64
3,12-04-1996,Pakistan,Sharjah Cricket Stadium,c †Rashid Latif b Mushtaq Ahmed,3,5,60,10,3.33,62.5
4,14-04-1996,South Africa,Sharjah Cricket Stadium,c J N Rhodes b S M Pollock,11,21,52.38,21,5.25,56.76
5,26-05-1996,England,Old Trafford,not out,22*,15,146.67,43,10.75,82.69
6,28-08-1996,Sri Lanka,R Premadasa Stadium,not out,7*,4,175,50,12.5,89.29
7,01-09-1996,Zimbabwe,Sinhalese Sports Club Ground,did not bat,-,-,-,50,12.5,89.29
8,06-09-1996,Australia,Sinhalese Sports Club Ground,b P R Reiffel,13,25,52,63,12.6,77.78
9,16-09-1996,Pakistan,"Cricket, Skating & Curling Club",c Aamir Sohail b Saleem Malik,39,50,78,102,17,77.86
10,17-09-1996,Pakistan,"Cricket, Skating & Curling Club",b Saqlain Mushtaq,90,114,78.95,192,27.43,78.37
11,18-09-1996,Pakistan,"Cricket, Skating & Curling Club",c Saleem Elahi b Saqlain Mushtaq,46,93,49.46,238,29.75,70.41
12,21-09-1996,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Saqlain Mushtaq,25,25,100,263,29.22,72.45
13,23-09-1996,Pakistan,"Cricket, Skating & Curling Club",c sub b Mushtaq Ahmed,20,39,51.28,283,28.3,70.4
14,17-10-1996,South Africa,Lal Bahadur Shastri Stadium,c J N Rhodes b D N Crookes,62,87,71.26,345,31.36,70.55
15,21-10-1996,Australia,M Chinnaswamy Stadium,lbw b D W Fleming,6,13,46.15,351,29.25,69.92
16,23-10-1996,South Africa,Sawai Mansingh Stadium,c †D J Richardson b B M McMillan,0,1,0,351,27,69.78
17,29-10-1996,South Africa,Madhavrao Scindia Cricket Ground,run out,21,40,52.5,372,26.57,68.51
18,03-11-1996,Australia,Punjab Cricket Association IS Bindra Stadium,c M A Taylor b S G Law,56,67,83.58,428,28.53,70.16
19,06-11-1996,South Africa,Wankhede Stadium,b P S De Villiers,31,41,75.61,459,28.69,70.51
20,14-12-1996,South Africa,Wankhede Stadium,run out,16,32,50,475,27.94,69.55
21,23-01-1997,South Africa,Mangaung Oval,b P L Symcox,8,22,36.36,483,26.83,68.51
22,27-01-1997,Zimbabwe,Boland Park,run out,23,43,53.49,506,26.63,67.65
23,02-02-1997,South Africa,St George's Park,c W J Cronje b A A Donald,50,104,48.08,556,27.8,65.26
24,04-02-1997,South Africa,Buffalo Park,run out,53,71,74.65,609,29,65.98
25,07-02-1997,Zimbabwe,SuperSport Park,c †A Flower b J A Rennie,12,30,40,621,28.23,65.16
26,09-02-1997,Zimbabwe,Willowmoore Park,b G J Whittall,17,27,62.96,638,27.74,65.1
27,12-02-1997,South Africa,Kingsmead,c G Kirsten b W J Cronje,33,70,47.14,671,27.96,63.9
28,13-02-1997,South Africa,Kingsmead,c G Kirsten b L Klusener,84,94,89.36,755,30.2,66
29,26-04-1997,West Indies,Queen's Park Oval,c C L Hooper b F A Rose,17,44,38.64,772,29.69,64.98
30,27-04-1997,West Indies,Queen's Park Oval,did not bat,-,-,-,772,29.69,64.98
31,30-04-1997,West Indies,Arnos Vale Ground,b O D Gibson,74,105,70.48,846,31.33,65.43
32,03-05-1997,West Indies,Kensington Oval,c S Chanderpaul b F A Rose,30,61,49.18,876,31.29,64.7
33,14-05-1997,New Zealand,M Chinnaswamy Stadium,not out,21*,31,67.74,897,32.04,64.77
34,17-05-1997,Sri Lanka,Wankhede Stadium,b M Muralitharan,61,103,59.22,958,33.03,64.38
35,21-05-1997,Pakistan,MA Chidambaram Stadium,c Shahid Afridi b Aaqib Javed,107,116,92.24,1065,35.5,66.4
36,18-07-1997,Sri Lanka,R Premadasa Stadium,b S T Jayasuriya,69,102,67.65,1134,36.58,66.47
37,20-07-1997,Pakistan,Sinhalese Sports Club Ground,did not bat,-,-,-,1134,36.58,66.47
38,24-07-1997,Bangladesh,Sinhalese Sports Club Ground,did not bat,-,-,-,1134,36.58,66.47
39,26-07-1997,Sri Lanka,R Premadasa Stadium,c R S Mahanama b W P U J C Vaas,7,12,58.33,1141,35.66,66.41
40,17-08-1997,Sri Lanka,R Premadasa Stadium,run out,1,1,100,1142,34.61,66.43
41,20-08-1997,Sri Lanka,R Premadasa Stadium,c †S K L de Silva b S T Jayasuriya,18,35,51.43,1160,34.12,66.13
42,23-08-1997,Sri Lanka,Sinhalese Sports Club Ground,c R S Kalpage b P A de Silva,78,79,98.73,1238,35.37,67.54
43,24-08-1997,Sri Lanka,Sinhalese Sports Club Ground,c U D U Chandana b S T Jayasuriya,42,68,61.76,1280,35.56,67.33
44,13-09-1997,Pakistan,"Cricket, Skating & Curling Club",c Ijaz Ahmed b Shahid Afridi,23,41,56.1,1303,35.22,67.1
45,14-09-1997,Pakistan,"Cricket, Skating & Curling Club",run out,14,25,56,1317,34.66,66.95
46,17-09-1997,Pakistan,"Cricket, Skating & Curling Club",did not bat,-,-,-,1317,34.66,66.95
47,18-09-1997,Pakistan,"Cricket, Skating & Curling Club",c Saeed Anwar b Saleem Malik,25,79,31.65,1342,34.41,65.59
48,20-09-1997,Pakistan,"Cricket, Skating & Curling Club",did not bat,-,-,-,1342,34.41,65.59
49,21-09-1997,Pakistan,"Cricket, Skating & Curling Club",not out,3*,4,75,1345,34.49,65.61
50,28-09-1997,Pakistan,Niaz Stadium,b Aaqib Javed,50,81,61.73,1395,34.88,65.46
51,16-12-1997,West Indies,Sharjah Cricket Stadium,b C L Hooper,31,45,68.89,1426,34.78,65.53
52,14-05-1998,Bangladesh,Punjab Cricket Association IS Bindra Stadium,c & b Athar Ali Khan,5,22,22.73,1431,34.07,65.1
53,20-05-1998,Kenya,M Chinnaswamy Stadium,b A Y A Karim,49,62,79.03,1480,34.42,65.49
54,25-05-1998,Bangladesh,Wankhede Stadium,b Mohammad Rafique,1,21,4.76,1481,33.66,64.93
55,28-05-1998,Kenya,Captain Roop Singh Stadium,c A V Vadher b S O Tikolo,33,53,62.26,1514,33.64,64.87
56,12-09-1998,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Abdul Razzaq,4,10,40,1518,33,64.76
57,13-09-1998,Pakistan,"Cricket, Skating & Curling Club",c & b Abdul Razzaq,18,30,60,1536,32.68,64.7
58,16-09-1998,Pakistan,"Cricket, Skating & Curling Club",b Mohammad Zahid,9,30,30,1545,32.19,64.27
59,19-09-1998,Pakistan,"Cricket, Skating & Curling Club",run out,1,1,100,1546,31.55,64.28
60,26-09-1998,Zimbabwe,Queens Sports Club,c A D R Campbell b G B Brent,64,98,65.31,1610,32.2,64.32
61,27-09-1998,Zimbabwe,Queens Sports Club,did not bat,-,-,-,1610,32.2,64.32
62,30-09-1998,Zimbabwe,Harare Sports Club,c H H Streak b A R Whittall,28,42,66.67,1638,32.12,64.36
63,28-10-1998,Australia,Bangabandhu National Stadium,run out,48,80,60,1686,32.42,64.23
64,31-10-1998,West Indies,Bangabandhu National Stadium,c S C Williams b C L Hooper,20,54,37.04,1706,32.19,63.68
65,11-11-1998,Zimbabwe,Sharjah Cricket Stadium,c N C Johnson b H K Olonga,3,13,23.08,1709,31.65,63.48
66,09-01-1999,New Zealand,Owen Delany Park,not out,123*,123,100,1832,33.93,65.08
