Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,P S/R
1,13-09-2007,Scotland,Kingsmead,did not bat,-,-,-,0, , 
2,14-09-2007,Pakistan,Kingsmead,c Shoaib Malik b Mohammad Asif,1,4,25,1,1,25
3,16-09-2007,New Zealand,Wanderers Stadium,c L R P L Taylor b J S Patel,5,7,71.43,6,3,54.55
4,19-09-2007,England,Kingsmead,c P D Collingwood b A Flintoff,58,16,362.5,64,21.33,237.04
5,22-09-2007,Australia,Kingsmead,c M E K Hussey b M J Clarke,70,30,233.33,134,33.5,235.09
6,24-09-2007,Pakistan,Wanderers Stadium,c & b Umar Gul,14,19,73.68,148,29.6,194.74
7,20-10-2007,Australia,Brabourne Stadium,not out,31*,25,124,179,35.8,177.23
8,10-02-2009,Sri Lanka,R Premadasa Stadium,c †T M Dilshan b J Mubarak,32,21,152.38,211,35.17,172.95
9,25-02-2009,New Zealand,AMI Stadium,lbw b D L Vettori,1,3,33.33,212,30.29,169.6
10,27-02-2009,New Zealand,Westpac Stadium,c J D P Oram b I E O'Brien,50,34,147.06,262,32.75,164.78
11,06-06-2009,Bangladesh,Trent Bridge,c Tamim Iqbal b Shahadat Hossain,41,18,227.78,303,33.67,171.19
12,10-06-2009,Ireland,Trent Bridge,not out,3*,4,75,306,34,169.06
13,12-06-2009,West Indies,Lord's,c & b F H Edwards,67,43,155.81,373,37.3,166.52
14,14-06-2009,England,Lord's,st J S Foster b G P Swann,17,9,188.89,390,35.45,167.38
15,16-06-2009,South Africa,Trent Bridge,c †M V Boucher b D W Steyn,25,25,100,415,34.58,160.85
16,09-12-2009,Sri Lanka,Vidarbha Cricket Association Stadium,c K M D N Kulasekara b A D Mathews,6,8,75,421,32.38,158.27
17,12-12-2009,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,not out,60*,25,240,481,37,165.29
18,01-05-2010,Afghanistan,Darren Sammy National Cricket Stadium,not out,23*,22,104.55,504,38.77,161.02
19,02-05-2010,South Africa,Darren Sammy National Cricket Stadium,c G C Smith b R K Kleinveldt,37,30,123.33,541,38.64,157.73
20,07-05-2010,Australia,Kensington Oval,b D P Nannes,1,2,50,542,36.13,157.1
21,09-05-2010,West Indies,Kensington Oval,c S Chanderpaul b S J Benn,12,14,85.71,554,34.63,154.32
22,11-05-2010,Sri Lanka,Darren Sammy National Cricket Stadium,c D P M D Jayawardene b T Thushara,1,2,50,555,32.65,153.74
23,09-01-2011,South Africa,Moses Mabhida Stadium,run out,12,13,92.31,567,31.5,151.6
24,11-09-2012,New Zealand,MA Chidambaram Stadium,b J E C Franklin,34,26,130.77,601,31.63,150.25
25,19-09-2012,Afghanistan,R Premadasa Stadium,c Shapoor Zadran b Karim Sadiq,18,20,90,619,30.95,147.38
26,23-09-2012,England,R Premadasa Stadium,did not bat,-,-,-,619,30.95,147.38
27,28-09-2012,Australia,R Premadasa Stadium,c G J Maxwell b S R Watson,8,10,80,627,29.86,145.81
28,30-09-2012,Pakistan,R Premadasa Stadium,not out,19*,16,118.75,646,30.76,144.84
29,02-10-2012,South Africa,R Premadasa Stadium,b M Morkel,21,15,140,667,30.32,144.69
30,20-12-2012,England,Maharashtra Cricket Association Stadium,c S C Meaker b L J Wright,38,21,180.95,705,30.65,146.27
31,22-12-2012,England,Wankhede Stadium,c J E Root b L J Wright,4,5,80,709,29.54,145.59
32,25-12-2012,Pakistan,M Chinnaswamy Stadium,c Umar Akmal b Umar Gul,10,9,111.11,719,28.76,144.96
33,28-12-2012,Pakistan,Sardar Patel Stadium,c Shoaib Malik b Umar Gul,72,36,200,791,30.42,148.68
34,10-10-2013,Australia,Saurashtra Cricket Association Stadium,not out,77*,35,220,868,33.38,153.09
35,21-03-2014,Pakistan,Shere Bangla National Stadium,b Bilawal Bhatti,1,2,50,869,32.19,152.72
36,23-03-2014,West Indies,Shere Bangla National Stadium,c C H Gayle b M N Samuels,10,19,52.63,879,31.39,149.49
37,28-03-2014,Bangladesh,Shere Bangla National Stadium,did not bat,-,-,-,879,31.39,149.49
38,30-03-2014,Australia,Shere Bangla National Stadium,c G J Maxwell b S R Watson,60,43,139.53,939,32.38,148.81
39,04-04-2014,South Africa,Shere Bangla National Stadium,c A B de Villiers b Imran Tahir,18,17,105.88,957,31.9,147.69
40,06-04-2014,Sri Lanka,Shere Bangla National Stadium,c N L T C Perera b K M D N Kulasekara,11,21,52.38,968,31.23,144.69
41,26-01-2016,Australia,Adelaide Oval,did not bat,-,-,-,968,31.23,144.69
42,29-01-2016,Australia,Melbourne Cricket Ground,did not bat,-,-,-,968,31.23,144.69
43,31-01-2016,Australia,Sydney Cricket Ground,not out,15*,12,125,983,31.71,144.35
44,09-02-2016,Sri Lanka,Maharashtra Cricket Association Stadium,c & b P V D Chameera,10,14,71.43,993,31.03,142.88
45,12-02-2016,Sri Lanka,JSCA International Stadium Complex,c S M S M Senanayake b N L T C Perera,0,1,0,993,30.09,142.67
46,14-02-2016,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,993,30.09,142.67
47,24-02-2016,Bangladesh,Shere Bangla National Stadium,c Soumya Sarkar b Shakib Al Hasan,15,16,93.75,1008,29.65,141.57
48,27-02-2016,Pakistan,Shere Bangla National Stadium,not out,14*,32,43.75,1022,30.06,137.37
49,01-03-2016,Sri Lanka,Shere Bangla National Stadium,c K M D N Kulasekara b N L T C Perera,35,18,194.44,1057,30.2,138.71
50,03-03-2016,United Arab Emirates,Shere Bangla National Stadium,not out,25*,14,178.57,1082,30.91,139.43
51,06-03-2016,Bangladesh,Shere Bangla National Stadium,did not bat,-,-,-,1082,30.91,139.43
52,15-03-2016,New Zealand,Vidarbha Cricket Association Stadium,c & b N L McCullum,4,5,80,1086,30.17,139.05
53,19-03-2016,Pakistan,Eden Gardens,c Mohammad Sami b Wahab Riaz,24,23,104.35,1110,30,138.06
54,23-03-2016,Bangladesh,M Chinnaswamy Stadium,c Al-Amin Hossain b Mahmudullah,3,6,50,1113,29.29,137.41
55,27-03-2016,Australia,Punjab Cricket Association IS Bindra Stadium,c S R Watson b J P Faulkner,21,18,116.67,1134,29.08,136.96
56,26-01-2017,England,Green Park,c A U Rashid b L E Plunkett,12,13,92.31,1146,28.65,136.27
57,29-01-2017,England,Vidarbha Cricket Association Stadium,lbw b M M Ali,4,12,33.33,1150,28.05,134.82
58,01-02-2017,England,M Chinnaswamy Stadium,c †J C Buttler b T S Mills,27,10,270,1177,28.02,136.38
